1. Mojsijeva 1,1        U početku stvori Bog nebo i zemlju.
1. Solunjanima 4,18     Tako utješavajte jedan drugoga ovijem riječima.
1. Solunjanima 5,1      A za čase i vremena, braćo, nije vam trijebe pisati;
1. Solunjanima 5,2      Jer sami znate jamačno da će dan Gospodnji doći kao lupež po noći.
1. Solunjanima 5,3      Jer kad reku: mir je, i nema se šta bojati, onda će iznenada napasti na njih pogibao kao bol na trudnu ženu, i neće uteći.
1. Solunjanima 5,4      Ali vi, braćo, nijeste u tami da vas dan kao lupež zastane.
1. Solunjanima 5,5      Jer ste vi svi sinovi vidjela i sinovi dana: nijesmo noći niti tame.
1. Solunjanima 5,6      Tako dakle da ne spavamo kao i ostali, nego da pazimo i da budemo trijezni.
1. Solunjanima 5,7      Jer koji spavaju, u noći spavaju, i koji se opijaju, u noći se opijaju.
1. Solunjanima 5,8      Ali mi koji smo sinovi dana da budemo trijezni i obučeni u oklop vjere i ljubavi, i s kacigom nada spasenija;
1. Solunjanima 5,9      Jer nas Bog ne postavi za gnjev, nego da dobijemo spasenije kroz Gospoda svojega Isusa Hrista,
1. Solunjanima 5,10     Koji umrije za nas da mi, stražili ili spavali, zajedno s njim živimo.
1. Solunjanima 5,11     Toga radi utješavajte jedan drugoga, i popravljajte svaki bližnjega, kao što i činite.
1. Solunjanima 5,12     Molimo vas pak, braćo, pripoznajte one koji se trude među vama, i nastojnike svoje u Gospodu i učitelje svoje,
1. Solunjanima 5,13     I imajte ih u izobilnoj ljubavi za djelo njihovo. Budite mirni među sobom.
1. Solunjanima 5,14     Molimo vas pak, braćo, poučavajte neuredne, utješavajte malodušne, branite slabe, snosite svakoga.
1. Solunjanima 5,15     Gledajte da niko ne vraća kome zla za zlo;
1. Solunjanima 5,16     Nego svagda idite za dobrom, i među sobom, prema svima.
1. Solunjanima 5,17     Radujte se svagda.
1. Solunjanima 5,18     Molite se Bogu bez prestanka. Na svačemu zahvaljujte; jer je ovo volja Božija u Hristu Isusu od vas.
1. Solunjanima 5,19     Duha ne gasite. Proroštva ne prezirite.
1. Solunjanima 5,20     A sve kušajući dobro držite.
1. Solunjanima 5,21     Uklanjajte se od svakoga zla.
1. Solunjanima 5,22     A sam Bog mira da posveti vas cijele u svačemu;
1. Solunjanima 5,23     I cijel vaš duh i duša i tijelo da se sačuva bez krivice za dolazak Gospoda našega Isusa Hrista.
1. Solunjanima 5,24     Vjeran je onaj koji vas dozva, koji će i učiniti.
1. Solunjanima 5,25     Braćo! molite se Bogu za nas.
1. Solunjanima 5,26     Pozdravite braću svu cijelivom svetijem.
1. Solunjanima 5,27     Zaklinjem vas Gospodom da pročitate ovu poslanicu pred svom braćom svetom.
1. Solunjanima 5,28     Blagodat Gospoda našega Isusa Hrista s vama. Amin.
2. Solunjanima 1,1      Od Pavla i Silvana i Timotija crkvi Solunskoj u Bogu ocu našemu i Gospodu Isusu Hristu:
2. Solunjanima 1,2      Blagodat vam i mir od Boga oca našega i Gospoda Isusa Hrista.
2. Solunjanima 1,3      Duži smo svagda zahvaljivati Bogu za vas, braćo, kao što treba; jer raste vrlo vjera vaša, i množi se ljubav svakoga vas među vama,
2. Solunjanima 1,4      Tako da se mi sami hvalimo vama crkvama Božijima, vašijem trpljenjem i vjerom u svima vašijem gonjenjima i nevoljama koje podnosite,
2. Solunjanima 1,5      Za znak pravednoga suda Božijega da se udostojite carstva Božijega, za koje i stradate.
2. Solunjanima 1,6      Jer je pravedno u Boga da vrati muke onima koji vas muče;
2. Solunjanima 1,7      A vama koje muče pokoj s nama kad se pokaže Gospod Isus s neba s anđelima sile svoje
2. Solunjanima 1,8      U ognju plamenome, koji će dati osvetu onima koji ne poznaju Boga i ne slušaju jevanđelja Gospoda našega Isusa Hrista;
2. Solunjanima 1,9      Koji će primiti muku, pogibao vječnu od lica Gospodnjega i od slave njegove,
2. Solunjanima 1,10     Kad dođe da se proslavi u svetima svojima, i divan da bude u svima koji ga vjerovaše; jer se primi svjedočanstvo naše među vama u onaj dan.
2. Solunjanima 1,11     Zato se i molimo svagda za vas da vas udostoji Bog naš zvanja, i ispuni svaku radost dobrote i djelo vjere u sili;
2. Solunjanima 1,12     Da se proslavi ime Gospoda našega Isusa Hrista u vama i vi u njemu, po blagodati Boga našega i Gospoda Isusa Hrista.
2. Solunjanima 2,1      Ali vas molimo, braćo, za dolazak Gospoda našega Isusa Hrista, i za naš sastanak u njemu,
2. Solunjanima 2,2      Da se ne date lasno pokrenuti od uma, niti da se plašite, ni duhom ni riječju, ni poslanicom, kao da je od nas poslana, da je već nastao dan Hristov.
2. Solunjanima 2,3      Da vas niko ne prevari nikakijem načinom; jer neće doći dok ne dođe najprije otpad, i ne pokaže se čovjek bezakonja, sin pogibli,
2. Solunjanima 2,4      Koji se protivi i podiže više svega što se zove Bog ili se poštuje, tako da će on sjesti u crkvi Božijoj kao Bog pokazujući sebe da je Bog.
2. Solunjanima 2,5      Ne pamtite li da sam vam ovo kazivao još kad sam kod vas bio?
2. Solunjanima 2,6      I sad znate što zadržava da se ne javi u svoje vrijeme.
2. Solunjanima 2,7      Jer se već radi tajna bezakonja, samo dok se ukloni onaj koji sad zadržava.
2. Solunjanima 2,8      Pa će se onda javiti bezakonik, kojega će Gospod Isus ubiti duhom usta svojijeh, i iskorijeniti svjetlošću dolaska svojega;
2. Solunjanima 2,9      Kojega je dolazak po činjenju sotoninu sa svakom silom, i znacima i lažnijem čudesima,
2. Solunjanima 2,10     I sa svakom prijevarom nepravde među onima koji ginu: jer ljubavi istine ne primiše, da bi se spasli.
2. Solunjanima 2,11     I zato će im Bog poslati silu prijevare, da vjeruju laži;
2. Solunjanima 2,12     Da prime sud svi koji ne vjerovaše istini, nego volješe nepravdu.
2. Solunjanima 2,13     A mi smo dužni svagda zahvaljivati Bogu za vas, braćo ljubazna Gospodu! što vas je Bog od početka izabrao za spasenije u svetinji Duha i vjeri istine.
2. Solunjanima 2,14     U koje vas dozva jevanđeljem našijem, da dobijete slavu Gospoda našega Isusa Hrista.
2. Solunjanima 2,15     Tako dakle, braćo, stojte i držite uredbe kojima se naučiste ili riječju ili iz poslanice naše.
2. Solunjanima 2,16     A sam Gospod naš Isus Hristos, i Bog i otac naš, kojemu omiljesmo i dade nam utjehu vječnu i nad dobri u blagodati,
2. Solunjanima 2,17     Da utješi srca vaša i da vas utvrdi u svakoj riječi i djelu dobrome.
2. Solunjanima 3,1      Dalje, braćo, molite se Bogu za nas da riječ Gospodnja trči, i da se slavi kao i među vama;
2. Solunjanima 3,2      I da se izbavimo od besputnijeh i zlijeh ljudi: jer vjera nije sviju.
2. Solunjanima 3,3      A Gospod je vjeran, koji će vas utvrditi i sačuvati oda zla.
2. Solunjanima 3,4      A uzdamo se u Gospoda za vas da ono što vam zapovijedamo i činite i činićete.
2. Solunjanima 3,5      A Gospod da upravi srca vaša na ljubav Božiju i na trpljenje Hristovo.
2. Solunjanima 3,6      Zapovjedamo vam pak, braćo, u ime Gospoda našega Isusa Hrista, da se odvojite od svakoga brata koji živi neuredno, a ne po uredbi koju primiše od nas.
2. Solunjanima 3,7      Jer sami znate kako treba da se ugledate na nas, jer ne življesmo neuredno među vama,
2. Solunjanima 3,8      Niti zabadava hljeb jedosmo u koga, nego u trudu i u poslu, dan i noć radeći, da ne budemo na dosadu nikome od vas.
2. Solunjanima 3,9      Ne kao da nemamo vlasti, nego da sebe damo vama za ugled, da budete kao i mi.
2. Solunjanima 3,10     Jer kad bijasmo u vas, ovo vam zapovijedasmo da ako ko neće da radi da i ne jede.
2. Solunjanima 3,11     Jer čujemo da neki neuredno žive među vama, ništa ne radeći, nego okrajče i miješaju se u tuđe poslove.
2. Solunjanima 3,12     Takovima zapovijedamo i molimo ih u Gospodu našemu Isusu Hristu da mirno radeći svoj hljeb jedu.
2. Solunjanima 3,13     A vama, braćo, da ne dotuži dobro činiti.
2. Solunjanima 3,14     A ako ko ne posluša riječi naše, onoga poslanicom naznačite, i ne miješajte se s njima, da se posrami.
2. Solunjanima 3,15     Ali ga ne držite kao neprijatelja, nego ga svjetujte kao brata.
2. Solunjanima 3,16     A sam Gospod mira da vam da mir svagda u svakom događaju. Gospod sa svima vama.
2. Solunjanima 3,17     Pozdrav mojom rukom Pavlovom, koje je znak u svakoj poslanici, ovako pišem:
2. Solunjanima 3,18     Blagodat Gospoda našega Isusa Hrista sa svima vama. Amin.
1. Timotiju 1,1         Od Pavla, apostola Isusa Hrista, po zapovijesti Boga spasa našega i Gospoda Isusa Hrista, nada našega,
1. Timotiju 1,2         Timotiju, pravome sinu u vjeri, blagodat, milost, mir od Boga oca našega i Hrista Isusa Gospoda našega.
1. Timotiju 1,3         Kao što te molih da ostaneš u Efesu, kad iđah u Maćedoniju, da zapovjediš nekima da ne uče drukčije,
1. Timotiju 1,4         Niti da gledaju na laži i na teftere od plemena kojima nema kraja, i koji prije čine prepiranja negoli Božij napredak u vjeri.
1. Timotiju 1,5         A namjera je zapovijesti ljubav od čista srca i dobre savjesti i vjere nelicemjerne;
1. Timotiju 1,6         U kojima neki pogriješivši svrnuše u prazne govore,
1. Timotiju 1,7         I htjeli bi da budu zakonici, a ne razumiju ni šta govore, ni šta utvrđuju.
1. Timotiju 1,8         A znamo da je zakon dobar ako ga ko drži kao što treba.
1. Timotiju 1,9         Znajući ovo da pravedniku zakon nije postavljen, nego bezakonicima i nepokornima i bezbožnicima i grješnicima, nepravednima i poganima, krvnicima oca i matere, krvnicima ljudskima,
1. Timotiju 1,10        Kurvarima, muželožnicima, ljudokradicama, lažljivcima, kletvoprestupnicima, i ako što ima protivno zdravoj nauci,
1. Timotiju 1,11        Po jevanđelju slave blaženoga Boga, koje je meni povjereno.
1. Timotiju 1,12        I zahvaljujem Hristu Isusu Gospodu našemu koji mi daje moć, što me za vjerna primi i postavi me u službu,
1. Timotiju 1,13        Koji sam prije bio hulnik i gonitelj i siledžija; ali bih pomilovan, jer ne znajući učinih u nevjerstvu.
1. Timotiju 1,14        Ali se još većma umnoži blagodat Gospoda našega Isusa Hrista s vjerom i ljubavi u Hristu Isusu.
1. Timotiju 1,15        Istinita je riječ i svakoga primanja dostojna da Hristos Isus dođe na svijet da spase grješnike, od kojijeh sam prvi ja.
1. Timotiju 1,16        Ali toga radi ja bih pomilovan da na meni prvome pokaže sve trpljenje Isus Hristos za ugled onima koji mu hoće vjerovati za život vječni.
1. Timotiju 1,17        A caru vječnome, neraspadljivome, koji se ne vidi, jedinome premudrome Bogu čast i slava vavijek vijeka. Amin.
1. Timotiju 1,18        Ovu pak zapovijest predajem ti, sine Timotije, po pređašnjijem proroštvima za tebe: da ratuješ u u njima dobar rat,
1. Timotiju 1,19        Imajući vjeru i dobru savjest, koju neki odbacivši otpadoše od vjere;
1. Timotiju 1,20        Među kojima su Imenej i Aleksandar koje predadoh sotoni da se nauče ne huliti.
1. Timotiju 2,1         Molim dakle prije svega da se čine iskanja, molitve, moljenja, zahvaljivanja za sve ljude,
1. Timotiju 2,2         Za careve, i za sve koji su u vlasti, da tihi i mirni život poživimo u svakoj pobožnosti i poštenju.
1. Timotiju 2,3         Jer je ovo dobro i prijatno pred spasiteljem našijem Bogom,
1. Timotiju 2,4         Koji hoće da se svi ljudi spasu, i da dođu u poznanje istine.
1. Timotiju 2,5         Jer je jedan Bog, i jedan posrednik Boga i ljudi, čovjek Hristos Isus,
1. Timotiju 2,6         Koji sebe dade u otkup za sve, za svjedočanstvo u svoje vrijeme,
1. Timotiju 2,7         Za koje sam postavljen propovjednik i apostol (istinu govorim u Hristu, ne lažem), učitelj neznabožaca, u vjeri i istini.
1. Timotiju 2,8         Hoću dakle da molitve čine ljudi na svakome mjestu, podižući svete ruke bez gnjeva i premišljanja.
1. Timotiju 2,9         Tako i žene u pristojnom odijelu, sa stidom i poštenjem da ukrašuju sebe, ne pletenicama, ni zlatom, ili biserom, ili haljinama skupocjenima,
1. Timotiju 2,10        Nego dobrijem djelima kao što se pristoji ženama koje se obećavaju pobožnosti.
1. Timotiju 2,11        Žena na miru da se uči sa svakom pokornošću.
1. Timotiju 2,12        Ali ženi ne dopuštam da uči niti da vlada mužem, nego da bude mirna.
1. Timotiju 2,13        Jer je Adam najprije sazdan pa onda Eva;
1. Timotiju 2,14        I Adam se ne prevari, a žena prevarivši se postade prestupnica;
1. Timotiju 2,15        Ali će se spasti rađanjem djece, ako ostane u vjeri i ljubavi i u svetinji s poštenjem.
1. Timotiju 3,1         Istinita je riječ: ako ko vladičanstva želi dobru stvar želi.
1. Timotiju 3,2         Ali vladika treba da je bez mane, jedne žene muž, trijezan, pametan, pošten, gostoljubiv, vrijedan da uči;
1. Timotiju 3,3         Ne pijanica, ne bojac, ne lakom, nego krotak, miran, ne srebroljubac;
1. Timotiju 3,4         Koji svojijem domom dobro upravlja, koji ima poslušnu djecu sa svakim poštenjem;
1. Timotiju 3,5         A ako ko ne umije svojijem domom upravljati, kako će se moći starati za crkvu Božiju?
1. Timotiju 3,6         Ne novokršten, da se ne bi naduo, i upao u sud đavolji.
1. Timotiju 3,7         A valja da ima i dobro svjedočanstvo od onijeh koji su napolju, da ne bi upao u sramotu i u zamku đavolju.
1. Timotiju 3,8         Tako i đakoni treba da budu pošteni, ne dvojezični, ne koji mnogo vina piju, ne lakomi na dobitak pogan,
1. Timotiju 3,9         Koji imaju tajnu vjere u čistoj savjesti.
1. Timotiju 3,10        A i ovi da se kušaju najprije, pa onda da služe, ako su bez mane.
1. Timotiju 3,11        Tako i žene treba da su poštene, ne koje opadaju, trijezne, vjerne u svemu.
1. Timotiju 3,12        Đakoni da bivaju jedinijeh žena muževi, koji dobro upravljaju djecom i svojijem domovima.
1. Timotiju 3,13        Jer koji dobro služe oni dobivaju sebi dobar postup, i veliku slobodu u vjeri Isusa Hrista.
1. Timotiju 3,14        Ovo ti pišem nadajući se da ću skoro doći k tebi.
1. Timotiju 3,15        Ako li se zabavim, da znaš kako treba življeti u domu Božijemu, koji je crkva Boga živoga, stup i tvrđa istine.
1. Timotiju 3,16        I, kao što je priznato, velika je tajna pobožnosti: Bog se javi u tijelu, opravda se u Duhu, pokaza se anđelima, propovjedi se neznabošcima, vjerova se na svijetu, uznese se u slavi.
1. Timotiju 4,1         A Duh razgovijetno govori da će u pošljednja vremena otstupiti neki od vjere slušajući lažne duhove i nauke đavolske,
1. Timotiju 4,2         U licemjerju laža, žigosanijeh na svojoj savjesti,
1. Timotiju 4,3         Koji zabranjuju ženiti se, i zapovijedaju uzdržavati se od jela koja Bog stvori za jelo sa zahvalnošću vjernima i onima koji poznaše istinu.
1. Timotiju 4,4         Jer je svako stvorenje Božije dobro i ništa nije na odmet kad se prima sa zahvalnošću.
1. Timotiju 4,5         Jer se osvećuje riječju Božijom i molitvom.
1. Timotiju 4,6         Ovo sve kazujući braći bićeš dobar sluga Isusa Hrista, odgajen riječima vjere i dobrom naukom koju si primio.
1. Timotiju 4,7         A poganijeh i bapskijeh gatalica kloni se; a obučavaj se u pobožnosti.
1. Timotiju 4,8         Jer tjelesno obučavanje malo je korisno, a pobožnost je korisna za svašto, imajući obećanje života sadašnjega i onoga koji ide.
1. Timotiju 4,9         Ovo je istinita riječ i dostojna svakoga primanja.
1. Timotiju 4,10        Jer se zato i trudimo i bivamo sramotni, jer se uzdamo u Boga živa, koji je spasitelj svima ljudima, a osobito vjernima.
1. Timotiju 4,11        Ovo zapovijedaj i uči.
1. Timotiju 4,12        Niko da ne postane nemarljiv za tvoju mladost; nego budi ugled vjernima u riječi, u življenju, u ljubavi, u duhu, u vjeri, u čistoti.
1. Timotiju 4,13        Dokle dođem pazi na čitanje, utješavanje i učenje.
1. Timotiju 4,14        Ne pusti u nemar dar u sebi koji ti je dan po proroštvu metnuvši starješine ruke na tebe.
1. Timotiju 4,15        U ovom se poučavaj, u ovom stoj, da se napredak tvoj pokaže u svemu.
1. Timotiju 4,16        Pazi na sebe i na nauku, i stoj u tome; jer ovo čineći spašćeš i samoga sebe i one koji te slušaju.
1. Timotiju 5,1         Starca ne karaj, nego mu govori kao ocu; momčadma kao braći;
1. Timotiju 5,2         Staricama kao materama; mladima kao sestrama, sa svakom čistotom.
1. Timotiju 5,3         Udovice poštuj, koje su prave udovice.
1. Timotiju 5,4         Ako li koja udovica ima djecu ili unučad, da se uče najprije svoj dom poštovati, i zajam vraćati roditeljima; jer je ovo ugodno pred Bogom.
1. Timotiju 5,5         A prava udovica i usamljena uzda se u Boga, i živi u molitvama i u moljenju dan i noć.
1. Timotiju 5,6         A koja živi u sladostima, živa je umrla.
1. Timotiju 5,7         I ovo zapovijedaj, da budu bez mane.
1. Timotiju 5,8         Ako li ko za svoje a osobito za domaće ne promišlja, odrekao se vjere, i gori je od neznabošca.
1. Timotiju 5,9         A udovica da se ne prima mlađa od šezdeset godina, i koja je bila jednome mužu žena;
1. Timotiju 5,10        I koja ima svjedočanstvo u dobrijem djelima, ako je djecu odgajila, ako je gostoljubiva bila, ako je svetima noge prala, ako je nevoljnima pomagala, ako je išla za svakijem dobrijem djelom.
1. Timotiju 5,11        A mladijeh udovica prođi se; jer kad pobjesne protiv Hrista, hoće da se udaju,
1. Timotiju 5,12        I imaju grijeh što prvu vjeru odbaciše.
1. Timotiju 5,13        A k tome i besposlene uče se skitati po kućama, ne samo pak besposlene, nego i jezične i sveznale, pa govore što ne treba.
1. Timotiju 5,14        Hoću dakle da se mlade udovice udaju, djecu rađaju, kuću kuće, a nikakva uzroka da ne daju protivniku za huljenje.
1. Timotiju 5,15        Jer se evo neke okrenuše za sotonom.
1. Timotiju 5,16        Ako koji vjerni ili vjerna ima udovice, neka se stara za njih, i da ne dosađuju crkvi da one koje su prave udovice može zadovoljiti.
1. Timotiju 5,17        A sveštenicima koji se dobro staraju da se daje dvoguba čast, a osobito onima koji se trude u riječi i u nauci.
1. Timotiju 5,18        Jer pismo govori: volu koji vrše ne zavezuj usta, i: radin je dostojan svoje plate.
1. Timotiju 5,19        Na sveštenika ne primaj tužbe, osim kad imaju dva ili tri svjedoka.
1. Timotiju 5,20        A koji griješe pokaraj ih pred svima, da i drugi imaju strah.
1. Timotiju 5,21        Zaklinjem te pred Bogom i Gospodom Isusom Hristom i izbranima njegovijem anđelima da ovo držiš bez licemjerja, ne čineći ništa po hateru.
1. Timotiju 5,22        Ruku odmah ne meći ni na koga, niti pristaj u tuđe grijehe. Drži sebe čista.
1. Timotiju 5,23        Više ne pij vode, nego pij po malo vina, želuca radi svojega i čestijeh svojijeh bolesti.
1. Timotiju 5,24        A nekijeh su ljudi grijesi poznati koji naprijed vode na sud, a nekijeh idu za njima.
1. Timotiju 5,25        Tako su i dobra djela poznata, i koja su drukčija ne mogu se sakriti.
1. Timotiju 6,1         Robovi koji su god pod jarmom da pokazuju svaku čast svojijem gospodarima, da se ne huli na ime Božije i na nauku.
1. Timotiju 6,2         A koji imaju krštene gospodare, da ne postaju nemarljivi za njih što su braća, nego još bolje da služe, jer su vjerni i ljubazni, zajedničari u blagodati. Ovo uči i svjetuj.
1. Timotiju 6,3         Ako li ko drukčije uči, i ne pristaje na zdrave riječi Gospoda našega Isusa Hrista i na nauku pobožnu,
1. Timotiju 6,4         Nadu se ne znajući ništa, nego bolujući od zapitkivanja i praznijeh prepiranja, oda šta postaje zavist, svađa, huljenje, zle misli,
1. Timotiju 6,5         Zaludna prepiranja onakovijeh ljudi koji imaju um izopačen i nemaju istine, koji misle da je pobožnost trgovina. Kloni se takovijeh.
1. Timotiju 6,6         Ali jest velika trgovina pobožnost sa zadovoljstvom.
1. Timotiju 6,7         Jer ništa ne donesosmo na ovaj svijet, dakle ne možemo ništa ni odnijeti.
1. Timotiju 6,8         A kad imamo hranu i odjeću, ovijem da budemo dovoljni.
1. Timotiju 6,9         A koji hoće da se obogate oni upadaju u napasti i zamke, i u mnoge lude škodljive želje, koje potapaju čovjeka u propast i pogibao.
1. Timotiju 6,10        Jer je korijen sviju zala srebroljublje kojemu neki predavši se zađoše od vjere i na sebe navukoše muke velike.
1. Timotiju 6,11        A ti, o čovječe Božij! bjegaj od ovoga, a idi za pravdom, pobožnosti, vjerom, ljubavi, trpljenjem, krotosti.
1. Timotiju 6,12        Bori se u dobroj borbi vjere, muči se za vječni život na koji si i pozvan, i priznao si dobro priznanje pred mnogijem svjedocima.
1. Timotiju 6,13        Zapovijedam ti pred Bogom koji sve oživljuje, i Hristom Isusom koji svjedoči za vladanja Pontija Pilata dobro priznanje,
1. Timotiju 6,14        Da držiš zapovijest čistu i nezazornu do dolaska Gospoda našega Isusa Hrista,
1. Timotiju 6,15        Koji će u svoje vrijeme pokazati blaženi i jedini silni car nad carevima i gospodar nad gospodarima,
1. Timotiju 6,16        Koji sam ima besmrtnost, i živi u svjetlosti kojoj se ne može pristupiti, kojega niko od ljudi nije vidio, niti može vidjeti, kojemu čast i država vječna. Amin.
1. Timotiju 6,17        Bogatima na ovome svijetu zapovijedaj da se ne ponose niti uzdaju u bogatstvo propadljivo, nego u Boga živoga, koji nam sve daje izobilno za užitak;
1. Timotiju 6,18        Neka dobro čine, neka se bogate u dobrijem djelima, neka budu podašni, zajednični,
1. Timotiju 6,19        Sabirajući sebi temelj dobar za unapredak, da prime život vječni.
1. Timotiju 6,20        O Timotije! sačuvaj što ti je predano, kloni se poganijeh, praznijeh razgovora i prepiranja lažno nazvanoga razuma,
1. Timotiju 6,21        Kojijem se neki hvaleći otpadoše od vjere. Blagodat s tobom. Amin.
2. Timotiju 1,1         Od Pavla, apostola Isusa Hrista po volji Božijoj za obećanje života u Isusu Hristu,
2. Timotiju 1,2         Timotiju, ljubaznome sinu, blagodat, milost, mir od Boga oca i Hrista Isusa Gospoda našega.
2. Timotiju 1,3         Zahvaljujem Bogu kojemu služim od praroditelja čistom savjesti, što bez prestanka imam spomen za tebe u molitvama svojijem dan i noć,
2. Timotiju 1,4         Želeći da te vidim, opominjući se suza tvojijeh, da se radosti ispunim;
2. Timotiju 1,5         Opominjući se nelicemjerne u tebi vjere koja se useli najprije u babu tvoju Loidu i u mater tvoju Evnikiju; a uvjeren sam da je i u tebi;
2. Timotiju 1,6         Zaradi kojega uzroka napominjem ti da pogrijevaš dar Božij koji je u tebi kako sam metnuo ruke svoje na tebe.
2. Timotiju 1,7         Jer nam Bog ne dade duha straha, nego sile i ljubavi i čistote.
2. Timotiju 1,8         Ne postidi se dakle svjedočanstva Gospoda našega Isusa Hrista, ni mene sužnja njegova; nego postradaj s jevanđeljem Hristovijem po sili Boga,
2. Timotiju 1,9         Koji nas spase i prizva zvanjem svetijem, ne po djelima našima, nego po svojoj naredbi i blagodati, koja nam je dana u Hristu Isusu prije vremena vječnijeh;
2. Timotiju 1,10        A sad se pokaza u dolasku spasitelja našega Isusa Hrista, koji raskopa smrt, i obasja život i neraspadljivost jevanđeljem;
2. Timotiju 1,11        Za koje sam ja postavljen apostol i učitelj neznabožaca.
2. Timotiju 1,12        Zaradi kojega uzroka i ovo stradam; ali se ne stidim, jer znam kome vjerovah, i uvjeren sam da je kadar amanet moj sačuvati za dan onaj.
2. Timotiju 1,13        Imaj u pameti obraz zdravijeh riječi koje si čuo od mene, u vjeri i ljubavi Hrista Isusa.
2. Timotiju 1,14        Dobri amanet sačuvaj Duhom svetijem koji živi u nama.
2. Timotiju 1,15        Znaš ovo da se odvratiše od mene svi u Aziji, među kojima i Figel i Ermogen.
2. Timotiju 1,16        A Gospod da da milost Onisiforovu domu; jer me mnogo puta utješi, i okova mojijeh ne postidje se;
2. Timotiju 1,17        Nego došavši u Rim potraži me još s većijem staranjem i nađe.
2. Timotiju 1,18        Da da njemu Gospod da nađe milost u Gospoda u dan onaj. I u Efesu koliko mi posluži, ti znaš dobro.
2. Timotiju 2,1         Ti dakle, sine moj, jačaj u blagodati Isusa Hrista;
2. Timotiju 2,2         I što si čuo od mene pred mnogijem svjedocima, ono predaj vjernijem ljudima, koji će biti vrijedni i druge naučiti.
2. Timotiju 2,3         Ti dakle trpi zlo kao dobar vojnik Isusa Hrista;
2. Timotiju 2,4         Jer se nikakav vojnik ne zapleće u trgovine ovoga svijeta da ugodi vojvodi.
2. Timotiju 2,5         Ako i vojuje, ne dobija vijenca ako pravo ne vojuje.
2. Timotiju 2,6         Radin koji se trudi najprije treba da okusi od roda.
2. Timotiju 2,7         Razumij što govorim; a Gospod da ti da razum u svemu.
2. Timotiju 2,8         Opominji se Gospoda Isusa Hrista koji usta iz mrtvijeh, od sjemena Davidova, po jevanđelju mojemu,
2. Timotiju 2,9         U kojemu trpim zlo do samijeh okova kao zločinac; ali se riječ Božija ne veže.
2. Timotiju 2,10        Zato trpim sve izbranijeh radi da i oni dobiju spasenije u Hristu Isusu sa slavom vječnom.
2. Timotiju 2,11        Istinita je riječ: ako s njim umrijesmo, to ćemo s njim i oživljeti.
2. Timotiju 2,12        Ako trpimo, s njim ćemo i carovati. Ako se odrečemo, i on će se nas odreći.
2. Timotiju 2,13        Ako ne vjerujemo, on ostaje vjeran; jer se sam sebe ne može odreći.
2. Timotiju 2,14        Ovo napominji, i posvjedoči pred Gospodom da se ne prepiru, koje ništa ne pomaže, nego smeta one koji slušaju.
2. Timotiju 2,15        Postaraj se da se pokažeš pošten pred Bogom, kao radin koji se nema šta stidjeti, i pravo upravlja riječju istine.
2. Timotiju 2,16        A poganijeh praznijeh razgovora kloni se; jer najviše pomažu u bezbožnosti,
2. Timotiju 2,17        I riječ njihova kao živina toči: među kojima je Imenej i Filit,
2. Timotiju 2,18        Koji u istini pogriješiše govoreći da je vaskrsenije već bilo; i smetaju vjeru nekijeh.
2. Timotiju 2,19        Tvrdo dakle stoji temelj Božij imajući ovaj pečat: pozna Gospod svoje; i: da otstupi od nepravde svaki koji spominje ime Gospodnje.
2. Timotiju 2,20        A u velikome domu nijesu sudi samo zlatni i srebrni, nego i drveni i zemljani: i jedni za čast, a jedni za sramotu.
2. Timotiju 2,21        Ako dakle ko očisti sebe od ovoga, biće sud za čast, osvećen, i potreban domaćinu, pripravljen za svako dobro djelo.
2. Timotiju 2,22        Bježi od želja mladosti, a drži se pravde, vjere, ljubavi, mira, sa svima koji prizivlju Gospoda od čistoga srca;
2. Timotiju 2,23        A ludijeh i praznijeh zapitkivanja kloni se znajući da rađaju svađe.
2. Timotiju 2,24        A sluga Gospodnji ne treba da se svađa, nego da bude krotak k svima, poučljiv, koji nepravdu može podnositi,
2. Timotiju 2,25        I s krotošću poučavati one koji se protive: eda bi im kako Bog dao pokajanje za poznanje istine,
2. Timotiju 2,26        I da se iskopaju iz zamke đavola, koji ih je ulovio žive za svoju volju.
2. Timotiju 3,1         Ali ovo znaj da će u pošljednje dane nastati vremena teška.
2. Timotiju 3,2         Jer će ljudi postati samoživi, srebroljupci, hvališe, ponositi, hulnici, nepokorni roditeljima, neblagodarni, nepravedni, neljubavni,
2. Timotiju 3,3         Neprimirljivi, opadači, neuzdržnici, bijesni, nedobroljubivi,
2. Timotiju 3,4         Izdajnici, nagli, naduveni, koji više mare za slasti nego za Boga,
2. Timotiju 3,5         Koji imaju obličje pobožnosti, a sile su se njezine odrekli. I ovijeh se kloni.
2. Timotiju 3,6         Jer su od ovijeh oni koji se zavlače po kućama, i robe ženice koje su natovarene grijesima i vode ih različne želje,
2. Timotiju 3,7         Koje se svagda uče, i nikad ne mogu da dođu k poznanju istine.
2. Timotiju 3,8         Kao što se Janije i Jamvrije protiviše Mojsiju, tako se i ovi protive istini, ljudi izopačenoga uma, nevješti u vjeri.
2. Timotiju 3,9         Ali neće dugo napredovati; jer će njihovo bezumlje postati javno pred svima, kao i onijeh što posta.
2. Timotiju 3,10        A ti si se ugledao na moju nauku, življenje, namjeru, vjeru, snošenje, ljubav, trpljenje,
